Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,11,330,68,3,1.9900
4,,,13,410,63,4,1.7200
5,,,14,460,58,5,1.5000
6,,,17,610,38,6,1.4100
7,,,19,640,36,7,1.4000
8,,,21,670,34,8,1.3900
9,,,23,700,32,9,1.3800
10,,,25,730,30,10,1.3700
11,,,27,760,28,11,1.3600
12,,,29,790,26,12,1.3500
13,,,31,820,24,13,1.3400
14,,,33,850,22,14,1.3300
15,,,35,880,20,15,1.3200
16,,,37,910,18,16,1.3100
17,,,39,940,16,17,1.3000
18,,,41,970,14,18,1.2900
19,,,43,1000,12,19,1.2800
