Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,9,300,70,2,2.1200
3,,,8,400,60,3,1.7400
4,,,7,500,50,4,1.3600
5,,,9,530,48,5,1.3500
6,,,11,560,46,6,1.3400
7,,,13,590,44,7,1.3300
8,,,15,620,42,8,1.3200
9,,,17,650,40,9,1.3100
10,,,19,680,38,10,1.3000
11,,,21,710,36,11,1.2900
12,,,23,740,34,12,1.2800
13,,,25,770,32,13,1.2700
14,,,27,800,30,14,1.2600
15,,,29,830,28,15,1.2500
16,,,31,860,26,16,1.2400
17,,,33,890,24,17,1.2300
18,,,35,920,22,18,1.2200
19,,,37,950,20,19,1.2100
20,,,39,980,18,20,1.2000
