Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,13,280,73,3,2.1500
4,,,15,310,71,4,2.0200
5,,,14,410,61,5,1.6400
6,,,16,490,56,6,1.3700
7,,,18,520,54,7,1.2400
8,,,20,600,49,8,1.0300
9,,,22,630,47,9,1.0200
10,,,24,660,45,10,1.0100
11,,,26,690,43,11,1.0000
12,,,28,720,41,12,0.9900
13,,,30,750,39,13,0.9800
14,,,32,780,37,14,0.9700
15,,,34,810,35,15,0.9600
16,,,36,840,33,16,0.9500
17,,,38,870,31,17,0.9400
18,,,40,900,29,18,0.9300
19,,,42,930,27,19,0.9200
20,,,44,960,25,20,0.9100
21,,,46,990,23,21,0.9000
