Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,8,120,-8,4,3.4600
5,,,10,150,-10,5,3.4500
6,,,20,350,70,6,1.8500
7,,,21,400,65,7,1.6300
8,,,24,550,45,8,1.1200
9,,,26,580,43,9,1.1100
10,,,28,610,41,10,1.1000
11,,,30,640,39,11,1.0900
12,,,32,670,37,12,1.0800
13,,,34,700,35,13,1.0700
14,,,36,730,33,14,1.0600
15,,,38,760,31,15,1.0500
16,,,40,790,29,16,1.0400
17,,,42,820,27,17,1.0300
18,,,44,850,25,18,1.0200
19,,,46,880,23,19,1.0100
20,,,48,910,21,20,1.0000
21,,,50,940,19,21,0.9900
1,,,2,80,-5,1,3.4683
2,,,4,160,-10,2,3.4367
3,,,6,190,-12,3,3.4017
4,,,8,270,-17,4,3.3700
5,,,18,470,63,5,1.8033
6,,,20,500,61,6,1.7683
7,,,22,530,59,7,1.7333
8,,,32,730,139,8,1.3367
9,,,34,760,137,9,1.2417
10,,,37,910,117,10,0.7567
11,,,40,1060,97,11,0.3617
12,,,42,1090,95,12,0.3267
13,,,44,1120,93,13,0.2917
14,,,46,1150,91,14,0.2567
15,,,48,1180,89,15,0.2217
16,,,50,1210,87,16,0.2033
