Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,3,150,-20,1,2.9900
2,,,5,230,-25,2,2.9200
3,,,7,310,-30,3,2.8500
4,,,9,340,-32,4,2.8000
5,,,12,490,-52,5,2.7900
6,,,22,690,28,6,1.5900
7,,,24,720,26,7,1.5400
8,,,27,870,6,8,1.5300
9,,,28,920,1,9,1.5100
10,,,38,1120,81,10,0.5500
1,,,2,30,-2,1,2.9550
2,,,4,110,-7,2,2.8983
3,,,14,310,73,3,1.7317
4,,,16,390,68,4,1.6750
5,,,18,420,66,5,1.6300
6,,,19,470,61,6,1.6183
7,,,21,500,59,7,1.5733
8,,,23,580,54,8,1.5167
9,,,33,780,134,9,1.0300
10,,,35,810,132,10,0.9450
11,,,38,960,112,11,0.5600
12,,,39,1010,107,12,0.4483
13,,,41,1090,102,13,0.2917
14,,,40,1190,92,14,0.2883
15,,,42,1220,90,15,0.2767
