Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,9,300,70,2,2.1200
3,,,10,350,65,3,1.9000
4,,,12,430,60,4,1.6300
5,,,14,510,55,5,1.3600
6,,,13,610,45,6,1.2800
7,,,15,640,43,7,1.2700
8,,,17,670,41,8,1.2600
9,,,19,700,39,9,1.2500
10,,,21,730,37,10,1.2400
11,,,23,760,35,11,1.2300
12,,,25,790,33,12,1.2200
13,,,27,820,31,13,1.2100
14,,,29,850,29,14,1.2000
15,,,31,880,27,15,1.1900
16,,,33,910,25,16,1.1800
17,,,35,940,23,17,1.1700
18,,,37,970,21,18,1.1600
19,,,39,1000,19,19,1.1500
