Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,8,120,-8,4,3.4600
5,,,10,150,-10,5,3.4500
6,,,20,350,70,6,1.8500
7,,,22,430,65,7,1.5800
8,,,21,530,55,8,1.2000
9,,,20,630,45,9,1.1200
10,,,22,660,43,10,1.1100
11,,,24,690,41,11,1.1000
12,,,26,720,39,12,1.0900
13,,,28,750,37,13,1.0800
14,,,30,780,35,14,1.0700
15,,,32,810,33,15,1.0600
16,,,34,840,31,16,1.0500
17,,,36,870,29,17,1.0400
18,,,38,900,27,18,1.0300
19,,,40,930,25,19,1.0200
20,,,42,960,23,20,1.0100
21,,,44,990,21,21,1.0000
