Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,280,75,2,2.2300
3,,,14,310,73,3,2.1000
4,,,15,360,68,4,1.8800
5,,,16,410,63,5,1.6600
6,,,17,460,58,6,1.4400
7,,,20,610,38,7,1.3500
8,,,22,640,36,8,1.3400
9,,,24,670,34,9,1.3300
10,,,26,700,32,10,1.3200
11,,,28,730,30,11,1.3100
12,,,30,760,28,12,1.3000
13,,,32,790,26,13,1.2900
14,,,34,820,24,14,1.2800
15,,,36,850,22,15,1.2700
16,,,38,880,20,16,1.2600
17,,,40,910,18,17,1.2500
18,,,42,940,16,18,1.2400
