Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,14,260,76,3,2.2400
4,,,15,310,71,4,2.0200
5,,,17,390,66,5,1.7500
6,,,18,440,61,6,1.5300
7,,,19,490,56,7,1.3100
8,,,21,520,54,8,1.1800
9,,,22,570,49,9,1.0200
10,,,24,600,47,10,1.0100
11,,,26,630,45,11,1.0000
12,,,28,660,43,12,0.9900
13,,,30,690,41,13,0.9800
14,,,32,720,39,14,0.9700
15,,,34,750,37,15,0.9600
16,,,36,780,35,16,0.9500
17,,,38,810,33,17,0.9400
18,,,40,840,31,18,0.9300
19,,,42,870,29,19,0.9200
20,,,44,900,27,20,0.9100
21,,,46,930,25,21,0.9000
22,,,48,960,23,22,0.8900
23,,,50,990,21,23,0.8800
