Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,8,120,-8,4,3.4600
5,,,18,320,72,5,1.9800
6,,,17,420,62,6,1.6000
7,,,16,520,52,7,1.2200
8,,,17,570,47,8,1.1800
9,,,19,600,45,9,1.1700
10,,,21,630,43,10,1.1600
11,,,23,660,41,11,1.1500
12,,,25,690,39,12,1.1400
13,,,27,720,37,13,1.1300
14,,,29,750,35,14,1.1200
15,,,31,780,33,15,1.1100
16,,,33,810,31,16,1.1000
17,,,35,840,29,17,1.0900
18,,,37,870,27,18,1.0800
19,,,39,900,25,19,1.0700
20,,,41,930,23,20,1.0600
21,,,43,960,21,21,1.0500
22,,,45,990,19,22,1.0400
