Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,13,280,73,3,2.1500
4,,,15,310,71,4,2.0200
5,,,17,390,66,5,1.7500
6,,,19,470,61,6,1.4800
7,,,21,550,56,7,1.2100
8,,,20,650,46,8,1.0700
9,,,22,680,44,9,1.0600
10,,,24,710,42,10,1.0500
11,,,26,740,40,11,1.0400
12,,,28,770,38,12,1.0300
13,,,30,800,36,13,1.0200
14,,,32,830,34,14,1.0100
15,,,34,860,32,15,1.0000
16,,,36,890,30,16,0.9900
17,,,38,920,28,17,0.9800
18,,,40,950,26,18,0.9700
19,,,42,980,24,19,0.9600
