Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,14,310,73,3,2.1000
4,,,13,410,63,4,1.7200
5,,,15,490,58,5,1.4500
6,,,18,640,38,6,1.3600
7,,,20,670,36,7,1.3500
8,,,22,700,34,8,1.3400
9,,,24,730,32,9,1.3300
10,,,26,760,30,10,1.3200
11,,,28,790,28,11,1.3100
12,,,30,820,26,12,1.3000
13,,,32,850,24,13,1.2900
14,,,34,880,22,14,1.2800
15,,,36,910,20,15,1.2700
16,,,38,940,18,16,1.2600
17,,,40,970,16,17,1.2500
18,,,42,1000,14,18,1.2400
