Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,11,250,75,2,2.2800
3,,,13,280,73,3,2.1500
4,,,14,330,68,4,1.9300
5,,,16,410,63,5,1.6600
6,,,19,560,43,6,1.2700
7,,,21,590,41,7,1.2600
8,,,23,620,39,8,1.2500
9,,,25,650,37,9,1.2400
10,,,27,680,35,10,1.2300
11,,,29,710,33,11,1.2200
12,,,31,740,31,12,1.2100
13,,,33,770,29,13,1.2000
14,,,35,800,27,14,1.1900
15,,,37,830,25,15,1.1800
16,,,39,860,23,16,1.1700
17,,,41,890,21,17,1.1600
18,,,43,920,19,18,1.1500
19,,,45,950,17,19,1.1400
20,,,47,980,15,20,1.1300
