Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,15,380,58,3,1.5600
4,,,16,430,53,4,1.3400
5,,,18,460,51,5,1.2100
6,,,20,490,49,6,1.1400
7,,,22,520,47,7,1.1300
8,,,24,550,45,8,1.1200
9,,,26,580,43,9,1.1100
10,,,28,610,41,10,1.1000
11,,,30,640,39,11,1.0900
12,,,32,670,37,12,1.0800
13,,,34,700,35,13,1.0700
14,,,36,730,33,14,1.0600
15,,,38,760,31,15,1.0500
16,,,40,790,29,16,1.0400
17,,,42,820,27,17,1.0300
18,,,44,850,25,18,1.0200
19,,,46,880,23,19,1.0100
20,,,48,910,21,20,1.0000
21,,,50,940,19,21,0.9900
