Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,14,260,76,3,2.2400
4,,,16,290,74,4,2.1100
5,,,18,370,69,5,1.8400
6,,,19,420,64,6,1.6200
7,,,20,470,59,7,1.4000
8,,,21,520,54,8,1.1800
9,,,23,550,52,9,1.0500
10,,,25,580,50,10,0.9200
11,,,27,610,48,11,0.9100
12,,,29,640,46,12,0.9000
13,,,31,670,44,13,0.8900
14,,,33,700,42,14,0.8800
15,,,35,730,40,15,0.8700
16,,,37,760,38,16,0.8600
17,,,39,790,36,17,0.8500
18,,,41,820,34,18,0.8400
19,,,43,850,32,19,0.8300
20,,,45,880,30,20,0.8200
21,,,47,910,28,21,0.8100
22,,,49,940,26,22,0.8000
