Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,11,250,75,2,2.2800
3,,,13,330,70,3,2.0100
4,,,15,360,68,4,1.8800
5,,,17,440,63,5,1.6100
6,,,19,470,61,6,1.4800
7,,,20,520,56,7,1.2600
8,,,22,600,51,8,0.9900
9,,,24,680,46,9,0.9600
10,,,26,710,44,10,0.9500
11,,,28,740,42,11,0.9400
12,,,30,770,40,12,0.9300
13,,,32,800,38,13,0.9200
14,,,34,830,36,14,0.9100
15,,,36,860,34,15,0.9000
16,,,38,890,32,16,0.8900
17,,,40,920,30,17,0.8800
18,,,42,950,28,18,0.8700
19,,,44,980,26,19,0.8600
