Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,16,290,74,4,2.1100
5,,,18,320,72,5,1.9800
6,,,20,350,70,6,1.8500
7,,,23,500,50,7,1.0400
8,,,25,530,48,8,1.0300
9,,,27,560,46,9,1.0200
10,,,29,590,44,10,1.0100
11,,,31,620,42,11,1.0000
12,,,33,650,40,12,0.9900
13,,,35,680,38,13,0.9800
14,,,37,710,36,14,0.9700
15,,,39,740,34,15,0.9600
16,,,41,770,32,16,0.9500
17,,,43,800,30,17,0.9400
18,,,45,830,28,18,0.9300
19,,,47,860,26,19,0.9200
20,,,49,890,24,20,0.9100
