Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,13,350,60,2,1.6900
3,,,14,400,55,3,1.4700
4,,,13,500,45,4,1.3900
5,,,15,530,43,5,1.3800
6,,,17,560,41,6,1.3700
7,,,19,590,39,7,1.3600
8,,,21,620,37,8,1.3500
9,,,23,650,35,9,1.3400
10,,,25,680,33,10,1.3300
11,,,27,710,31,11,1.3200
12,,,29,740,29,12,1.3100
13,,,31,770,27,13,1.3000
14,,,33,800,25,14,1.2900
15,,,35,830,23,15,1.2800
16,,,37,860,21,16,1.2700
17,,,39,890,19,17,1.2600
18,,,41,920,17,18,1.2500
19,,,43,950,15,19,1.2400
20,,,45,980,13,20,1.2300
