Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,11,330,68,3,1.9900
4,,,10,430,58,4,1.6100
5,,,13,580,38,5,1.5200
6,,,15,610,36,6,1.5100
7,,,17,640,34,7,1.5000
8,,,19,670,32,8,1.4900
9,,,21,700,30,9,1.4800
10,,,23,730,28,10,1.4700
11,,,25,760,26,11,1.4600
12,,,27,790,24,12,1.4500
13,,,29,820,22,13,1.4400
14,,,31,850,20,14,1.4300
15,,,33,880,18,15,1.4200
16,,,35,910,16,16,1.4100
17,,,37,940,14,17,1.4000
18,,,39,970,12,18,1.3900
19,,,41,1000,10,19,1.3800
