Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,1.8000
2,,,11,250,75,2,1.7800
3,,,13,280,73,3,1.7300
4,,,16,430,53,4,1.7200
5,,,18,460,51,5,1.6700
6,,,20,540,46,6,1.6000
7,,,23,690,26,7,1.5900
8,,,25,770,21,8,1.5200
9,,,27,800,19,9,1.4700
10,,,28,850,14,10,1.4500
11,,,29,900,9,11,1.4300
12,,,31,930,7,12,1.3800
13,,,33,960,5,13,1.3300
14,,,35,990,3,14,1.2800
15,,,37,1020,1,15,1.2700
16,,,47,1220,81,16,0.4700
1,,,2,80,-5,1,2.9433
2,,,4,160,-10,2,2.8867
3,,,5,210,-15,3,2.8750
4,,,7,240,-17,4,2.8300
5,,,9,320,-22,5,2.7733
6,,,11,400,-27,6,2.7167
7,,,12,450,-32,7,2.7050
8,,,14,530,-37,8,2.6483
9,,,15,580,-42,9,2.6367
10,,,17,610,-44,10,2.5917
11,,,19,640,-46,11,2.5467
12,,,20,690,-51,12,2.5350
13,,,30,890,29,13,1.3683
14,,,32,920,27,14,1.3233
15,,,34,950,25,15,1.2783
16,,,36,1030,20,16,1.2217
17,,,38,1110,15,17,1.1650
18,,,40,1190,10,18,1.1083
19,,,42,1220,8,19,1.0967
20,,,52,1420,88,20,0.3433
