Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,8,120,-8,4,3.4600
5,,,10,150,-10,5,3.4500
6,,,20,350,70,6,1.8500
7,,,19,450,60,7,1.4700
8,,,22,600,40,8,1.2600
9,,,24,630,38,9,1.2500
10,,,26,660,36,10,1.2400
11,,,28,690,34,11,1.2300
12,,,30,720,32,12,1.2200
13,,,32,750,30,13,1.2100
14,,,34,780,28,14,1.2000
15,,,36,810,26,15,1.1900
16,,,38,840,24,16,1.1800
17,,,40,870,22,17,1.1700
18,,,42,900,20,18,1.1600
19,,,44,930,18,19,1.1500
