Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,16,290,74,4,2.1100
5,,,15,390,64,5,1.7300
6,,,17,420,62,6,1.6000
7,,,19,450,60,7,1.4700
8,,,20,500,55,8,1.2500
9,,,22,580,50,9,0.9800
10,,,24,610,48,10,0.9700
11,,,26,640,46,11,0.9600
12,,,28,670,44,12,0.9500
13,,,30,700,42,13,0.9400
14,,,32,730,40,14,0.9300
15,,,34,760,38,15,0.9200
16,,,36,790,36,16,0.9100
17,,,38,820,34,17,0.9000
18,,,40,850,32,18,0.8900
19,,,42,880,30,19,0.8800
20,,,44,910,28,20,0.8700
21,,,46,940,26,21,0.8600
22,,,48,970,24,22,0.8500
23,,,50,1000,22,23,0.8400
