Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,15,380,58,3,1.5600
4,,,18,530,38,4,1.4700
5,,,20,560,36,5,1.4600
6,,,22,590,34,6,1.4500
7,,,24,620,32,7,1.4400
8,,,26,650,30,8,1.4300
9,,,28,680,28,9,1.4200
10,,,30,710,26,10,1.4100
11,,,32,740,24,11,1.4000
12,,,34,770,22,12,1.3900
13,,,36,800,20,13,1.3800
14,,,38,830,18,14,1.3700
15,,,40,860,16,15,1.3600
16,,,42,890,14,16,1.3500
17,,,44,920,12,17,1.3400
18,,,46,950,10,18,1.3300
19,,,48,980,8,19,1.3200
