Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,9,300,70,2,2.1200
3,,,10,350,65,3,1.9000
4,,,11,400,60,4,1.6800
5,,,13,430,58,5,1.5500
6,,,16,580,38,6,1.4600
7,,,18,610,36,7,1.4500
8,,,20,640,34,8,1.4400
9,,,22,670,32,9,1.4300
10,,,24,700,30,10,1.4200
11,,,26,730,28,11,1.4100
12,,,28,760,26,12,1.4000
13,,,30,790,24,13,1.3900
14,,,32,820,22,14,1.3800
15,,,34,850,20,15,1.3700
16,,,36,880,18,16,1.3600
17,,,38,910,16,17,1.3500
18,,,40,940,14,18,1.3400
19,,,42,970,12,19,1.3300
20,,,44,1000,10,20,1.3200
1,,,2,30,-2,1,3.4650
2,,,4,110,-7,2,3.4333
3,,,14,310,73,3,1.8667
4,,,16,390,68,4,1.8350
5,,,18,470,63,5,1.8033
6,,,20,500,61,6,1.7683
7,,,22,530,59,7,1.7333
8,,,24,610,54,8,1.7017
9,,,26,640,52,9,1.6667
10,,,28,670,50,10,1.6317
11,,,38,870,130,11,0.9650
12,,,39,920,125,12,0.8283
13,,,41,1000,120,13,0.6467
14,,,42,1050,115,14,0.5100
15,,,43,1100,110,15,0.3733
16,,,42,1200,100,16,0.1600
