Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,14,260,76,3,2.2400
4,,,16,340,71,4,1.9700
5,,,18,420,66,5,1.7000
6,,,19,470,61,6,1.4800
7,,,21,500,59,7,1.3500
8,,,20,600,49,8,1.0300
9,,,22,630,47,9,1.0200
10,,,24,660,45,10,1.0100
11,,,26,690,43,11,1.0000
12,,,28,720,41,12,0.9900
13,,,30,750,39,13,0.9800
14,,,32,780,37,14,0.9700
15,,,34,810,35,15,0.9600
16,,,36,840,33,16,0.9500
17,,,38,870,31,17,0.9400
18,,,40,900,29,18,0.9300
19,,,42,930,27,19,0.9200
20,,,44,960,25,20,0.9100
21,,,46,990,23,21,0.9000
