Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,8,120,-8,4,3.4600
5,,,18,320,72,5,1.9800
6,,,17,420,62,6,1.6000
7,,,19,450,60,7,1.4700
8,,,18,550,50,8,1.0900
9,,,20,580,48,9,1.0800
10,,,22,610,46,10,1.0700
11,,,24,640,44,11,1.0600
12,,,26,670,42,12,1.0500
13,,,28,700,40,13,1.0400
14,,,30,730,38,14,1.0300
15,,,32,760,36,15,1.0200
16,,,34,790,34,16,1.0100
17,,,36,820,32,17,1.0000
18,,,38,850,30,18,0.9900
19,,,40,880,28,19,0.9800
20,,,42,910,26,20,0.9700
21,,,44,940,24,21,0.9600
22,,,46,970,22,22,0.9500
23,,,48,1000,20,23,0.9400
