Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,13,280,73,3,2.1500
4,,,15,360,68,4,1.8800
5,,,17,440,63,5,1.6100
6,,,19,470,61,6,1.4800
7,,,21,550,56,7,1.2100
8,,,22,600,51,8,0.9900
9,,,24,630,49,9,0.9200
10,,,26,660,47,10,0.9100
11,,,28,690,45,11,0.9000
12,,,30,720,43,12,0.8900
13,,,32,750,41,13,0.8800
14,,,34,780,39,14,0.8700
15,,,36,810,37,15,0.8600
16,,,38,840,35,16,0.8500
17,,,40,870,33,17,0.8400
18,,,42,900,31,18,0.8300
19,,,44,930,29,19,0.8200
20,,,46,960,27,20,0.8100
21,,,48,990,25,21,0.8000
