Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,9,300,70,2,2.1200
3,,,11,330,68,3,1.9900
4,,,12,380,63,4,1.7700
5,,,13,430,58,5,1.5500
6,,,12,530,48,6,1.2900
7,,,14,560,46,7,1.2800
8,,,16,590,44,8,1.2700
9,,,18,620,42,9,1.2600
10,,,20,650,40,10,1.2500
11,,,22,680,38,11,1.2400
12,,,24,710,36,12,1.2300
13,,,26,740,34,13,1.2200
14,,,28,770,32,14,1.2100
15,,,30,800,30,15,1.2000
16,,,32,830,28,16,1.1900
17,,,34,860,26,17,1.1800
18,,,36,890,24,18,1.1700
19,,,38,920,22,19,1.1600
20,,,40,950,20,20,1.1500
21,,,42,980,18,21,1.1400
