Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,15,380,58,3,1.5600
4,,,16,430,53,4,1.3400
5,,,17,480,48,5,1.2400
6,,,19,510,46,6,1.2300
7,,,21,540,44,7,1.2200
8,,,23,570,42,8,1.2100
9,,,25,600,40,9,1.2000
10,,,27,630,38,10,1.1900
11,,,29,660,36,11,1.1800
12,,,31,690,34,12,1.1700
13,,,33,720,32,13,1.1600
14,,,35,750,30,14,1.1500
15,,,37,780,28,15,1.1400
16,,,39,810,26,16,1.1300
17,,,41,840,24,17,1.1200
18,,,43,870,22,18,1.1100
19,,,45,900,20,19,1.1000
20,,,47,930,18,20,1.0900
21,,,49,960,16,21,1.0800
