Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,280,75,2,2.2300
3,,,15,430,55,3,1.4200
4,,,14,530,45,4,1.3400
5,,,16,560,43,5,1.3300
6,,,18,590,41,6,1.3200
7,,,20,620,39,7,1.3100
8,,,22,650,37,8,1.3000
9,,,24,680,35,9,1.2900
10,,,26,710,33,10,1.2800
11,,,28,740,31,11,1.2700
12,,,30,770,29,12,1.2600
13,,,32,800,27,13,1.2500
14,,,34,830,25,14,1.2400
15,,,36,860,23,15,1.2300
16,,,38,890,21,16,1.2200
17,,,40,920,19,17,1.2100
18,,,42,950,17,18,1.2000
19,,,44,980,15,19,1.1900
