Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,80,-5,1,2.9300
2,,,4,160,-10,2,2.8600
3,,,7,310,-30,3,2.8500
4,,,10,460,-50,4,2.8400
5,,,13,610,-70,5,2.8300
6,,,15,640,-72,6,2.7800
7,,,25,840,8,7,1.5800
8,,,35,1040,88,8,0.4600
1,,,1,50,-5,1,2.9883
2,,,11,250,75,2,1.8217
3,,,12,300,70,3,1.8100
4,,,13,350,65,4,1.7983
5,,,15,380,63,5,1.7533
6,,,25,580,143,6,1.4467
7,,,24,680,133,7,1.2833
8,,,27,830,113,8,0.8983
9,,,30,980,93,9,0.6533
10,,,32,1010,91,10,0.6083
11,,,34,1090,86,11,0.5517
12,,,35,1140,81,12,0.5400
13,,,36,1190,76,13,0.5283
14,,,38,1220,74,14,0.5167
