Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,14,260,76,3,2.2400
4,,,13,360,66,4,1.8600
5,,,12,460,56,5,1.4800
6,,,14,490,54,6,1.3500
7,,,16,520,52,7,1.2200
8,,,17,570,47,8,1.1800
9,,,19,600,45,9,1.1700
10,,,21,630,43,10,1.1600
11,,,23,660,41,11,1.1500
12,,,25,690,39,12,1.1400
13,,,27,720,37,13,1.1300
14,,,29,750,35,14,1.1200
15,,,31,780,33,15,1.1100
16,,,33,810,31,16,1.1000
17,,,35,840,29,17,1.0900
18,,,37,870,27,18,1.0800
19,,,39,900,25,19,1.0700
20,,,41,930,23,20,1.0600
21,,,43,960,21,21,1.0500
22,,,45,990,19,22,1.0400
