Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,280,75,2,2.2300
3,,,14,360,70,3,1.9600
4,,,13,460,60,4,1.5800
5,,,15,540,55,5,1.3100
6,,,14,640,45,6,1.2300
7,,,16,670,43,7,1.2200
8,,,18,700,41,8,1.2100
9,,,20,730,39,9,1.2000
10,,,22,760,37,10,1.1900
11,,,24,790,35,11,1.1800
12,,,26,820,33,12,1.1700
13,,,28,850,31,13,1.1600
14,,,30,880,29,14,1.1500
15,,,32,910,27,15,1.1400
16,,,34,940,25,16,1.1300
17,,,36,970,23,17,1.1200
18,,,38,1000,21,18,1.1100
