Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,14,260,76,3,2.2400
4,,,17,410,56,4,1.4300
5,,,19,440,54,5,1.3000
6,,,20,490,49,6,1.1400
7,,,22,520,47,7,1.1300
8,,,24,550,45,8,1.1200
9,,,26,580,43,9,1.1100
10,,,28,610,41,10,1.1000
11,,,30,640,39,11,1.0900
12,,,32,670,37,12,1.0800
13,,,34,700,35,13,1.0700
14,,,36,730,33,14,1.0600
15,,,38,760,31,15,1.0500
16,,,40,790,29,16,1.0400
17,,,42,820,27,17,1.0300
18,,,44,850,25,18,1.0200
19,,,46,880,23,19,1.0100
20,,,48,910,21,20,1.0000
21,,,50,940,19,21,0.9900
1,,,2,80,-5,1,3.4683
2,,,4,160,-10,2,3.4367
3,,,6,240,-15,3,3.4050
4,,,8,320,-20,4,3.3733
5,,,18,520,60,5,1.8067
6,,,28,720,140,6,1.4400
7,,,29,770,135,7,1.3033
8,,,32,920,115,8,0.8183
9,,,33,970,110,9,0.6817
10,,,34,1020,105,10,0.5450
11,,,36,1050,103,11,0.4500
12,,,35,1150,93,12,0.4467
13,,,37,1180,91,13,0.4117
14,,,39,1210,89,14,0.3933
