Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,4,60,-4,2,3.4800
3,,,6,90,-6,3,3.4700
4,,,16,290,74,4,2.1100
5,,,17,340,69,5,1.8900
6,,,18,390,64,6,1.6700
7,,,20,470,59,7,1.4000
8,,,19,570,49,8,1.0800
9,,,21,600,47,9,1.0700
10,,,23,630,45,10,1.0600
11,,,25,660,43,11,1.0500
12,,,27,690,41,12,1.0400
13,,,29,720,39,13,1.0300
14,,,31,750,37,14,1.0200
15,,,33,780,35,15,1.0100
16,,,35,810,33,16,1.0000
17,,,37,840,31,17,0.9900
18,,,39,870,29,18,0.9800
19,,,41,900,27,19,0.9700
20,,,43,930,25,20,0.9600
21,,,45,960,23,21,0.9500
22,,,47,990,21,22,0.9400
