Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,14,310,73,3,2.1000
4,,,15,360,68,4,1.8800
5,,,17,440,63,5,1.6100
6,,,18,490,58,6,1.3900
7,,,21,640,38,7,1.3000
8,,,23,670,36,8,1.2900
9,,,25,700,34,9,1.2800
10,,,27,730,32,10,1.2700
11,,,29,760,30,11,1.2600
12,,,31,790,28,12,1.2500
13,,,33,820,26,13,1.2400
14,,,35,850,24,14,1.2300
15,,,37,880,22,15,1.2200
16,,,39,910,20,16,1.2100
17,,,41,940,18,17,1.2000
18,,,43,970,16,18,1.1900
19,,,45,1000,14,19,1.1800
