Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,14,310,73,3,2.1000
4,,,16,390,68,4,1.8300
5,,,18,470,63,5,1.5600
6,,,20,550,58,6,1.2900
7,,,22,580,56,7,1.1600
8,,,23,630,51,8,0.9400
9,,,25,660,49,9,0.8700
10,,,27,690,47,10,0.8600
11,,,29,720,45,11,0.8500
12,,,31,750,43,12,0.8400
13,,,33,780,41,13,0.8300
14,,,35,810,39,14,0.8200
15,,,37,840,37,15,0.8100
16,,,39,870,35,16,0.8000
17,,,41,900,33,17,0.7900
18,,,43,930,31,18,0.7800
19,,,45,960,29,19,0.7700
20,,,47,990,27,20,0.7600
